### Donsken_stat_n40_M10000_mean5_S050
i t1 x1 t2 x2 t3 x3
542 0.1 51 0.5 52.75 1 54.6
543 0.1 50.55 0.5 52.45 1 55.15
544 0.1 50.1 0.5 52 1 54.4
545 0.1 50.25 0.5 52.55 1 55.4
546 0.1 50.9 0.5 53.9 1 56.9
547 0.1 50.85 0.5 51.8 1 54.6
548 0.1 50.65 0.5 53.65 1 55.1
549 0.1 50.75 0.5 53.7 1 56.3
550 0.1 50.8 0.5 52.45 1 55.75
551 0.1 49.9 0.5 52.15 1 54.85
552 0.1 50.3 0.5 52.2 1 54.7
553 0.1 50.65 0.5 52.75 1 54.1
554 0.1 50.55 0.5 52 1 53.85
555 0.1 50.2 0.5 51.35 1 53.65
556 0.1 51.15 0.5 53.05 1 55.25
557 0.1 50.9 0.5 52.5 1 55.2
558 0.1 50.6 0.5 53.3 1 55.8
559 0.1 50.15 0.5 52.3 1 55.2
560 0.1 50.25 0.5 52.25 1 55.65
561 0.1 50.1 0.5 53.25 1 56.9
562 0.1 50.05 0.5 53.1 1 55.65
563 0.1 50.6 0.5 52.05 1 54.9
564 0.1 50.4 0.5 52.55 1 54.2
565 0.1 50.15 0.5 53.8 1 56.7
566 0.1 50.25 0.5 52.75 1 55
567 0.1 50.25 0.5 52.35 1 56.75
568 0.1 50.25 0.5 52.05 1 55.05
569 0.1 50.45 0.5 52.1 1 55.85
570 0.1 50.35 0.5 53 1 54.6
571 0.1 50.45 0.5 52.55 1 55.8
572 0.1 50.2 0.5 51 1 54.25
573 0.1 50.75 0.5 52.4 1 56.3
574 0.1 50.3 0.5 51.85 1 54.95
575 0.1 51.2 0.5 52.65 1 54.55
576 0.1 50.65 0.5 52.5 1 54.25
577 0.1 50.55 0.5 52.05 1 54.15
